,type_property,type_subproperty,price,locality,netHabitableSurface,nr_bedrooms,kitchen_installed,nr_facades,hasGarden,garden_m2,hasTerrace,terrace_m2,furnished_YN,swimpool_YN,type_of_sale,land,basement,building,fireplaceExist
8394951,COMMERCIAL,HOTEL_RESTAURANT_CAFE,700000,7180,0,0,True,0,False,0,False,0,False,False,,0,0,AS_NEW,False
8949335,HOUSE,APARTMENT_BLOCK,250000,6590,0,7,False,0,False,0,False,0,False,False,isNotarySale,0,0,GOOD,False
8834615,HOUSE,APARTMENT_BLOCK,230000,4460,155,3,False,0,True,347,True,0,False,False,,390,16,GOOD,False
8485892,HOUSE,MIXED_USE_BUILDING,230000,6880,0,3,False,0,False,0,False,0,False,False,,169,169,,False
7798428,HOUSE,MIXED_USE_BUILDING,295000,6724,400,4,True,0,False,0,False,0,False,False,,600,45,GOOD,False
8868017,HOUSE,MIXED_USE_BUILDING,385000,1430,200,3,True,0,True,50,True,9,False,False,,500,500,AS_NEW,False
8308813,HOUSE,APARTMENT_BLOCK,429000,1030,220,4,False,0,False,0,False,0,False,False,,0,220,TO_BE_DONE_UP,False
8651120,HOUSE,MIXED_USE_BUILDING,449000,2460,0,5,True,0,False,0,False,0,False,False,isUnderOption,15394,15394,,False
8275999,HOUSE,HOUSE,475000,9260,0,3,False,0,False,0,False,0,False,False,,566,566,,False
8148581,HOUSE,MIXED_USE_BUILDING,485000,7041,450,10,False,0,False,0,False,0,False,False,,656,656,GOOD,False
8640508,HOUSE,HOUSE,575000,1000,280,6,False,0,False,0,True,22,False,False,,0,280,TO_BE_DONE_UP,False
8776305,HOUSE,MIXED_USE_BUILDING,980000,1090,560,3,True,0,True,156,True,0,False,False,,968,968,GOOD,False
8896422,HOUSE,APARTMENT_BLOCK,1095000,1050,255,6,False,0,True,275,True,40,False,False,,0,255,AS_NEW,False
8792550,HOUSE,APARTMENT_BLOCK,1350000,1650,0,6,False,0,False,0,False,0,False,False,,8000,100,,False
8954487,HOUSE,HOUSE,275000,3530,221,4,True,0,False,0,False,0,False,False,isNewClassified,1200,1200,TO_BE_DONE_UP,False
8936143,HOUSE,HOUSE,279000,2060,120,4,False,0,False,0,False,0,False,False,isNewClassified,36,36,TO_BE_DONE_UP,False
8925114,HOUSE,APARTMENT_BLOCK,320000,5100,193,7,True,0,False,0,False,0,False,False,,380,380,GOOD,False
8923353,HOUSE,HOUSE,350000,1654,135,2,True,0,False,0,True,0,False,False,,708,708,GOOD,False
8938973,HOUSE,APARTMENT_BLOCK,825000,1070,290,9,False,0,False,0,False,0,False,False,isNewClassified,75,75,AS_NEW,False
8938296,HOUSE,APARTMENT_BLOCK,990000,1120,330,8,False,0,False,0,False,0,False,False,isNewClassified,0,330,GOOD,False
8942338,HOUSE,MIXED_USE_BUILDING,1200000,1083,590,4,False,0,False,0,False,0,False,False,isNewClassified,243,243,AS_NEW,False
8668366,COMMERCIAL,MIXED_USE_BUILDING_COMMERCIAL,450000,1600,527,0,False,0,False,0,False,0,False,False,,0,527,GOOD,False
8846507,HOUSE,MIXED_USE_BUILDING,265000,2400,0,2,True,0,False,0,False,0,False,False,,0,0,GOOD,False
8745871,HOUSE,APARTMENT_BLOCK,900000,1060,0,9,False,0,True,115,False,0,False,False,,300,300,TO_BE_DONE_UP,False
8919076,OFFICE,MIXED_USE_BUILDING_OFFICES,795000,2300,1618,0,True,0,False,0,False,0,False,False,,0,1618,GOOD,False
8888887,HOUSE,APARTMENT_BLOCK,270000,4000,244,5,True,0,False,0,True,5,False,False,,0,244,TO_BE_DONE_UP,False
8674092,GARAGE,LOCK_UP_PARKING,22000,8560,0,0,False,0,False,0,False,0,False,False,,0,0,,False
8803169,HOUSE,MIXED_USE_BUILDING,650000,1090,232,3,False,0,False,0,False,0,False,False,,289,289,,False
8570818,HOUSE,APARTMENT_BLOCK,160000,4020,173,2,True,0,False,0,True,34,False,False,isUnderOption,150,150,AS_NEW,False
8862782,HOUSE,MIXED_USE_BUILDING,210000,1400,160,4,True,0,False,0,False,0,False,False,,98,98,,False
8898491,HOUSE,APARTMENT_BLOCK,235000,6840,0,0,False,0,False,0,False,0,False,False,,0,0,Not specified,False
8794717,HOUSE,APARTMENT_BLOCK,240000,4480,0,5,True,0,False,0,False,0,False,False,isUnderOption,0,0,Not specified,False
8752152,HOUSE,APARTMENT_BLOCK,470000,4670,361,5,False,0,False,0,False,0,False,False,,2079,2079,,False
